id,Lat,Long,InjTopDepth,InjBotDepth,TotalCumVolume,AvgPressurePSI,WellStatus,WellType,QuakeDepth,Maxmagnitude,CountQuake,Avgmagnitude
1,33.96,-97.3,NA,NA,NA,NA,NA,NA,5,1.5,5,1.12
2,34.07,-97.5,NA,NA,NA,NA,NA,NA,6.658210526,3.2,19,2.247368421
3,34.08,-97.5,NA,NA,NA,NA,NA,NA,5.3095,2.4,4,1.875
4,34.2,-96.4,NA,NA,NA,NA,NA,NA,5,1.8,1,1.8
5,34.38,-96.8,NA,NA,NA,NA,NA,NA,1.675666667,2,3,1.833333333
6,34.42,-97.5,2830.25,3292.625,47655645,576.5922265,AC,2RIn,4.9885,2.4,2,2.2
7,34.43,-97.5,2803.538462,3416,52110445,568.5475863,AC,2RIn,4.3565,2.5,2,2.35
8,34.43,-97.6,4367.647059,5051.352941,27013738,541.0120286,AC,2RIn,5,2.7,10,2.31
9,34.47,-97.2,NA,NA,NA,NA,NA,NA,0,1.6,2,1.5
10,34.53,-97.7,5161.5,5332.5,NA,NA,AC,2RIn,4.42325,2.4,4,2.275
11,34.55,-97.4,1267,1282,45723,250,AC,2RIn,0.088555556,2.3,9,1.888888889
12,34.57,-97.4,7991,10170,68426,56.83843537,AC,2RIn,0.67125,2.2,8,1.8625
13,34.63,-96.3,NA,NA,NA,NA,NA,NA,5.735,2.4,1,2.4
14,34.64,-96.4,NA,NA,NA,NA,NA,NA,1.8848,2.6,5,1.96
15,34.66,-96.4,NA,NA,NA,NA,NA,NA,2.358478261,2.6,23,2.030434783
16,34.88,-97.7,3265,3753,224498,113.3333333,AC,2DNC,2.5365,3,6,2.3
17,34.99,-97.7,NA,NA,NA,NA,NA,NA,4.8416,2.5,5,2.14
18,35.05,-97.6,9038,9120,3205993,784.5151515,AC,2RIn,6.364857143,3.2,7,2.714285714
19,35.07,-97.6,NA,NA,NA,NA,NA,NA,5.518875,2.9,8,2.1375
20,35.08,-97.6,NA,NA,236949,185.7337662,AC,2DNC,5.310857143,2.8,14,1.921428571
21,35.13,-97.9,NA,NA,NA,NA,NA,NA,10.25066667,2.8,3,2.366666667
22,35.27,-97,NA,NA,NA,NA,NA,NA,5.667666667,2.6,3,2.466666667
23,35.28,-97,5094.5,5106.5,495580,4.285714286,AC,2DCm,4.448,2.2,1,2.2
24,35.29,-98,NA,NA,NA,NA,NA,NA,7.887,2.4,7,2.171428571
25,35.33,-96.5,4363,6073.5,27082115.52,148.6933333,AC,2RIn,4.617,2.2,4,1.7
26,35.34,-96.5,3878.5,3903.5,1044082,170.09375,PA,2D,4.386142857,3,7,1.8
27,35.35,-96.5,3423.333333,3476,2656400,NA,AC,2DNC,4.085461538,3.6,13,2.053846154
